Life expectancy ,Adult Mortality,Alcohol, BMI ,Total expenditure, HIV/AIDS,GDP,Income composition of resources,Schooling
65,263,0.01,19.1,8.16,0.1,584.25921,0.479,10.1
59.9,271,0.01,18.6,8.18,0.1,612.696514,0.476,10
59.9,268,0.01,18.1,8.13,0.1,631.744976,0.47,9.9
59.5,272,0.01,17.6,8.52,0.1,669.959,0.463,9.8
59.2,275,0.01,17.2,7.87,0.1,63.537231,0.454,9.5
58.8,279,0.01,16.7,9.2,0.1,553.32894,0.448,9.2
58.6,281,0.01,16.2,9.42,0.1,445.8932979,0.434,8.9
58.1,287,0.03,15.7,8.33,0.1,373.3611163,0.433,8.7
57.5,295,0.02,15.2,6.73,0.1,369.835796,0.415,8.4
57.3,295,0.03,14.7,7.43,0.1,272.56377,0.405,8.1
57.3,291,0.02,14.2,8.7,0.1,25.2941299,0.396,7.9
57,293,0.02,13.8,8.79,0.1,219.1413528,0.381,6.8
56.7,295,0.01,13.4,8.82,0.1,198.7285436,0.373,6.5
56.2,3,0.01,13,7.76,0.1,187.84595,0.341,6.2
55.3,316,0.01,12.6,7.8,0.1,117.49698,0.34,5.9
54.8,321,0.01,12.2,8.2,0.1,114.56,0.338,5.5
77.8,74,4.6,58,6,0.1,3954.22783,0.762,14.2
77.5,8,4.51,57.2,5.88,0.1,4575.763787,0.761,14.2
77.2,84,4.76,56.5,5.66,0.1,4414.72314,0.759,14.2
76.9,86,5.14,55.8,5.59,0.1,4247.61438,0.752,14.2
76.6,88,5.37,55.1,5.71,0.1,4437.17868,0.738,13.3
76.2,91,5.28,54.3,5.34,0.1,494.358832,0.725,12.5
76.1,91,5.79,53.5,5.79,0.1,4114.136545,0.721,12.2
75.3,1,5.61,52.6,5.87,0.1,437.539647,0.713,12
75.9,9,5.58,51.7,6.1,0.1,363.13685,0.703,11.6
74.2,99,5.31,5.8,5.86,0.1,35.1293,0.696,11.4
73.5,15,5.16,49.9,6.12,0.1,279.142931,0.685,10.8
73,17,4.54,48.9,6.38,0.1,2416.588235,0.681,10.9
72.8,18,4.29,47.9,6.27,0.1,189.681557,0.674,10.7
73.3,15,3.73,46.9,6.3,0.1,1453.642777,0.67,10.7
73.6,14,4.25,46,6,0.1,1326.97339,0.662,10.6
72.6,11,3.66,45,6.26,0.1,1175.788981,0.656,10.7
75.6,19,,59.5,,0.1,4132.76292,0.743,14.4
75.4,11,0.01,58.4,7.21,0.1,547.8517,0.741,14.4
75.3,112,0.53,57.2,7.12,0.1,5471.866766,0.737,14.4
75.1,113,0.66,56.1,6.14,0.1,5564.82566,0.732,14.4
74.9,116,0.56,55,5.29,0.1,5432.2523,0.724,14
74.7,119,0.45,53.9,5.12,0.1,4463.394675,0.714,13.6
74.4,123,0.5,52.8,5.36,0.1,3868.83123,0.705,13.1
74.1,126,0.46,51.8,4.2,0.1,495.254866,0.697,12.6
73.8,129,0.44,5.8,3.82,0.1,3935.183343,0.69,12.3
73.4,132,0.36,49.8,3.36,0.1,3464.6179,0.686,12.3
72.9,136,0.5,48.9,3.24,0.1,31.122378,0.68,12
72.3,14,0.45,47.9,3.54,0.1,2598.9823,0.673,11.7
71.7,146,0.34,47,3.6,0.1,294.33556,0.663,11.5
71.6,145,0.36,46.1,3.73,0.1,1774.33673,0.653,11.1
71.4,145,0.23,45.3,3.84,0.1,1732.857979,0.644,10.9
71.3,145,0.25,44.4,3.49,0.1,1757.17797,0.636,10.7
52.4,335,,23.3,,1.9,3695.793748,0.531,11.4
